pair_id,intervention,mechanism_hint,surrogate,surrogate_category,pathway,hallmark,relation_type,pmid,title,journal,year,study_type,article_score,surrogate_signal,sample_snippet,doi
nicotinamide_riboside_nad_nadh_ratio,Nicotinamide Riboside,NAD+: NAD+ precursor supplementation intended to boost NAD+ homeostasis,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,37994989,A randomized placebo-controlled trial of nicotinamide riboside in older adults with mild cognitive impairment.,GeroScience,2024,randomized_trial,0.9,0.83,"A randomized placebo-controlled trial of nicotinamide riboside in older adults with mild cognitive impairment.. Nicotinamide riboside (NR) increases blood levels of NAD+, a cofactor central to energy metabolism, and impr",10.1007/s11357-023-00999-9
nmn_homa_ir,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,HOMA-IR,metabolic,insulin signaling,deregulated nutrient sensing,intervention_to_surrogate,36482258,"The efficacy and safety of β-nicotinamide mononucleotide (NMN) supplementation in healthy middle-aged adults: a randomized, multicenter, double-blind, placebo-controlled, parallel-group, dose-dependent clinical trial.",GeroScience,2023,randomized_trial,0.9,0.97,"Ai 3.0 calculator), Homeostatic Model Assessment for Insulin Resistance (HOMA-IR), and subjective general health assessment [36-Item Short Form Survey Instrument (SF-36)]. Statistical analys",10.1007/s11357-022-00705-1
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,37619764,The Safety and Antiaging Effects of Nicotinamide Mononucleotide in Human Clinical Trials: an Update.,"Advances in nutrition (Bethesda, Md.)",2023,review,0.55,0.63,The Safety and Antiaging Effects of Nicotinamide Mononucleotide in Human Clinical Trials: an Update.. The importance of nicotinamide adenine dinucleotide (NAD+) in human physiology is well recognized. As the NAD+ concent,10.1016/j.advnut.2023.08.008
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,35499054,Nicotinamide mononucleotide (NMN) as an anti-aging health product - Promises and safety concerns.,Journal of advanced research,2022,review,0.65,0.63,"Nicotinamide mononucleotide (NMN) as an anti-aging health product - Promises and safety concerns.. BACKGROUND: Elderly population has been progressively rising in the world, thus the demand for anti-aging heath products",10.1016/j.jare.2021.08.003
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,33888596,Nicotinamide mononucleotide increases muscle insulin sensitivity in prediabetic women.,"Science (New York, N.Y.)",2021,randomized_trial,0.7,0.73,"Nicotinamide mononucleotide increases muscle insulin sensitivity in prediabetic women.. In rodents, obesity and aging impair nicotinamide adenine dinucleotide (NAD+) biosynthesis, which contributes to metabolic dysfuncti",10.1126/science.abe9985
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,28068222,Long-Term Administration of Nicotinamide Mononucleotide Mitigates Age-Associated Physiological Decline in Mice.,Cell metabolism,2016,preclinical,0.65,0.73,"Long-Term Administration of Nicotinamide Mononucleotide Mitigates Age-Associated Physiological Decline in Mice.. NAD+ availability decreases with age and in certain disease conditions. Nicotinamide mononucleotide (NMN),",10.1016/j.cmet.2016.09.013
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,29249689,NAD+ Intermediates: The Biology and Therapeutic Potential of NMN and NR.,Cell metabolism,2018,review,0.65,0.63,"NAD+ Intermediates: The Biology and Therapeutic Potential of NMN and NR.. Research on the biology of NAD+ has been gaining momentum, providing many critical insights into the pathogenesis of age-associated functional dec",10.1016/j.cmet.2017.11.002
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,35441939,"The role of nicotinamide mononucleotide (NMN) in anti-aging, longevity, and its potential for treating chronic conditions.",Molecular biology reports,2022,review,0.65,0.63,"The role of nicotinamide mononucleotide (NMN) in anti-aging, longevity, and its potential for treating chronic conditions.. Biosynthesis and regulation of nicotinamide adenine dinucleotide (NAD+) has recently gained a lo",10.1007/s11033-022-07459-1
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,37548938,Role and Potential Mechanisms of Nicotinamide Mononucleotide in Aging.,Aging and disease,2024,review,0.55,0.63,Role and Potential Mechanisms of Nicotinamide Mononucleotide in Aging.. Nicotinamide adenine dinucleotide (NAD+) has recently attracted much attention due to its role in aging and lifespan extension. NAD+ directly and in,10.14336/AD.2023.0519-1
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,32755581,Nicotinamide Mononucleotide Supplementation Reverses the Declining Quality of Maternally Aged Oocytes.,Cell reports,2020,preclinical,0.35,0.68,"Nicotinamide Mononucleotide Supplementation Reverses the Declining Quality of Maternally Aged Oocytes.. Advanced maternal age is highly associated with a decline in oocyte quality, but effective approaches to improve it",10.1016/j.celrep.2020.107987
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,37683629,NAD+ rescues aging-induced blood-brain barrier damage via the CX43-PARP1 axis.,Neuron,2023,preclinical,0.55,0.63,"NAD+ rescues aging-induced blood-brain barrier damage via the CX43-PARP1 axis.. Blood-brain barrier (BBB) function deteriorates during aging, contributing to cognitive impairment and neurodegeneration. It is unclear what",10.1016/j.neuron.2023.08.010
nmn_parp1,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,PARP1,oncology,DNA damage repair,genomic instability,intervention_to_surrogate,37683629,NAD+ rescues aging-induced blood-brain barrier damage via the CX43-PARP1 axis.,Neuron,2023,preclinical,0.75,0.55,"NAD+ rescues aging-induced blood-brain barrier damage via the CX43-PARP1 axis.. Blood-brain barrier (BBB) function deteriorates during aging, contributing to cognitive impairment and",10.1016/j.neuron.2023.08.010
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,37068054,Dietary Supplementation With NAD+-Boosting Compounds in Humans: Current Knowledge and Future Directions.,"The journals of gerontology. Series A, Biological sciences and medical sciences",2023,review,0.65,0.73,Dietary Supplementation With NAD+-Boosting Compounds in Humans: Current Knowledge and Future Directions.. Advancing age and many disease states are associated with declines in nicotinamide adenine dinucleotide (NAD+) lev,10.1093/gerona/glad106
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,33049665,Signaling pathways and effectors of aging.,Frontiers in bioscience (Landmark edition),2021,review,0.4,0.63,"Signaling pathways and effectors of aging.. Aging leads to and is associated with aberrant function of multiple signaling pathways and a host of factors that maintain cellular health. Under normal conditions, the prolong",10.2741/4889
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,34517020,"Preclinical and clinical evidence of NAD+ precursors in health, disease, and ageing.",Mechanisms of ageing and development,2021,review,0.55,0.63,"Preclinical and clinical evidence of NAD+ precursors in health, disease, and ageing.. NAD+ is a fundamental molecule in human life and health as it participates in energy metabolism, cell signalling, mitochondrial homeos",10.1016/j.mad.2021.111567
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,40929245,Interferon-induced senescent CD8+ T cells reduce anti-PD1 immunotherapy efficacy in early triple-negative breast cancer.,Science translational medicine,2025,preclinical,0.5,0.68,"Interferon-induced senescent CD8+ T cells reduce anti-PD1 immunotherapy efficacy in early triple-negative breast cancer.. Triple-negative breast cancers (TNBCs) lack predictive biomarkers to guide immunotherapy, especial",10.1126/scitranslmed.adj7808
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,33199925,CD38 ecto-enzyme in immune cells is induced during aging and regulates NAD+ and NMN levels.,Nature metabolism,2020,preclinical,0.5,0.63,CD38 ecto-enzyme in immune cells is induced during aging and regulates NAD+ and NMN levels.. Decreased NAD+ levels have been shown to contribute to metabolic dysfunction during aging. NAD+ decline can be partially preven,10.1038/s42255-020-00298-z
nmn_nad_nadh_ratio,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,31917996,NAD+ therapy in age-related degenerative disorders: A benefit/risk analysis.,Experimental gerontology,2020,meta_analysis,0.8,0.83,NAD+ therapy in age-related degenerative disorders: A benefit/risk analysis.. Nicotinamide adenine dinucleotide (NAD+) is an essential pyridine nucleotide that is present in all living cells. NAD+ acts as an important co,10.1016/j.exger.2020.110831
nmn_met,Nmn,NAD+: NAD+ therapeutic transported via Slc12a8; restores age-associated decline in neuronal firing and promotes REM sleep,MET,oncology,receptor tyrosine kinase signaling,genomic instability,intervention_to_surrogate,31917996,NAD+ therapy in age-related degenerative disorders: A benefit/risk analysis.,Experimental gerontology,2020,meta_analysis,0.8,0.75,"icles were identified and 147 articles (113 preclinical and 34 clinical) met criteria for inclusion. Most studies indicated that the NAD+ precursors NAM, NR, nicotinamide mononucleotide",10.1016/j.exger.2020.110831
rapamycin_igf_1,Rapamycin,mTOR: mTOR inhibitor; senomorphic that suppresses SASP expression and geroscience-relevant inflammatory signaling,IGF-1,growth signaling,insulin IGF signaling,deregulated nutrient sensing,intervention_to_surrogate,39212197,A surge in endogenous spermidine is essential for rapamycin-induced autophagy and longevity.,Autophagy,2024,preclinical,0.65,0.68,"A surge in endogenous spermidine is essential for rapamycin-induced autophagy and longevity.. Acute nutrient deprivation (fasting) causes an immediate increase in spermidine biosynthesis in yeast, flies, mice and humans,",10.1080/15548627.2024.2396793
resveratrol_crp,Resveratrol,validated geroprotector candidate; modulates mitochondrial redox signaling and bioenergetics,CRP,inflammation,inflammation signaling,inflammaging,intervention_to_surrogate,35240291,"Role of resveratrol supplementation in regulation of glucose hemostasis, inflammation and oxidative stress in patients with diabetes mellitus type 2: A randomized, placebo-controlled trial.",Complementary therapies in medicine,2022,randomized_trial,0.75,0.85,"weeks. Fasting glucose, insulin, HbA1c, lipid profile, TNF- α, IL-6, hs-CRP, MDA & circulatory microRNAs were measured at start and end of 24- week intervention. RESULTS: Out of 110 pat",10.1016/j.ctim.2022.102819
resveratrol_il6,Resveratrol,validated geroprotector candidate; modulates mitochondrial redox signaling and bioenergetics,IL6,inflammation,cytokine signaling,inflammaging,intervention_to_surrogate,35240291,"Role of resveratrol supplementation in regulation of glucose hemostasis, inflammation and oxidative stress in patients with diabetes mellitus type 2: A randomized, placebo-controlled trial.",Complementary therapies in medicine,2022,randomized_trial,0.75,0.85,"Role of resveratrol supplementation in regulation of glucose hemostasis, inflammation and oxidative stress in patients with diabetes mellitus type 2: A randomized, placebo-controlled trial.. OBJECTIVE: The objective was",10.1016/j.ctim.2022.102819
resveratrol_hba1c,Resveratrol,validated geroprotector candidate; modulates mitochondrial redox signaling and bioenergetics,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,35240291,"Role of resveratrol supplementation in regulation of glucose hemostasis, inflammation and oxidative stress in patients with diabetes mellitus type 2: A randomized, placebo-controlled trial.",Complementary therapies in medicine,2022,randomized_trial,0.75,0.92,"cellulose capsules respectively for 24 weeks. Fasting glucose, insulin, HbA1c, lipid profile, TNF- α, IL-6, hs-CRP, MDA & circulatory microRNAs were measured at start and end of 24- week",10.1016/j.ctim.2022.102819
resveratrol_fasting_glucose,Resveratrol,validated geroprotector candidate; modulates mitochondrial redox signaling and bioenergetics,fasting glucose,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,35240291,"Role of resveratrol supplementation in regulation of glucose hemostasis, inflammation and oxidative stress in patients with diabetes mellitus type 2: A randomized, placebo-controlled trial.",Complementary therapies in medicine,2022,randomized_trial,0.75,0.92,"ily resveratrol 200 mg and cellulose capsules respectively for 24 weeks. Fasting glucose, insulin, HbA1c, lipid profile, TNF- α, IL-6, hs-CRP, MDA & circulatory microRNAs were measured at start and",10.1016/j.ctim.2022.102819
resveratrol_igf_1,Resveratrol,validated geroprotector candidate; modulates mitochondrial redox signaling and bioenergetics,IGF-1,growth signaling,insulin IGF signaling,deregulated nutrient sensing,intervention_to_surrogate,21840335,Caloric restriction.,Molecular aspects of medicine,2011,randomized_trial,0.65,0.78,"ed in mediating the CR effect. These are the insulin like growth factor (IGF-1)/insulin signaling pathway, the sirtuin pathway, the adenosine monophosphate (AMP) activated protein kinase (",10.1016/j.mam.2011.07.001
resveratrol_igf_1,Resveratrol,validated geroprotector candidate; modulates mitochondrial redox signaling and bioenergetics,IGF-1,growth signaling,insulin IGF signaling,deregulated nutrient sensing,intervention_to_surrogate,30232763,Pharmaceutical Intervention of Aging.,Advances in experimental medicine and biology,2018,review,0.55,0.68,"tivated protein kinase (AMPK), sirtuins, and insulin-like growth factor (IGF-1) signaling (Fig. 15.1).",10.1007/978-981-13-1117-8_15
resveratrol_nad_nadh_ratio,Resveratrol,validated geroprotector candidate; modulates mitochondrial redox signaling and bioenergetics,NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,30232763,Pharmaceutical Intervention of Aging.,Advances in experimental medicine and biology,2018,review,0.55,0.63,Pharmaceutical Intervention of Aging.. The aging population represents a significant worldwide socioeconomic challenge. Aging is an inevitable and multifactorial biological process and primary risk factor for most age-re,10.1007/978-981-13-1117-8_15
semaglutide_hba1c,Semaglutide,GLP1: GLP-1 receptor agonist; metabolic/gerotherapeutic candidate with effects on adiposity and epigenetic aging measures,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,34170647,Tirzepatide versus Semaglutide Once Weekly in Patients with Type 2 Diabetes.,The New England journal of medicine,2021,randomized_trial,0.65,0.82,Tirzepatide versus Semaglutide Once Weekly in Patients with Type 2 Diabetes.. BACKGROUND: Tirzepatide is a dual glucose-dependent insulinotropic polypeptide and glucagon-like peptide-1 (GLP-1) receptor agonist that is un,10.1056/NEJMoa2107519
semaglutide_creatinine,Semaglutide,GLP1: GLP-1 receptor agonist; metabolic/gerotherapeutic candidate with effects on adiposity and epigenetic aging measures,creatinine,organ function,kidney function,loss of proteostasis,intervention_to_surrogate,39455729,Semaglutide in patients with overweight or obesity and chronic kidney disease without diabetes: a randomized double-blind placebo-controlled clinical trial.,Nature medicine,2025,randomized_trial,0.75,0.72,"erular filtration rate (eGFR) ≥25 ml min-1 1.73 m-2 and urine albumin-to-creatinine ratio (UACR) ≥30 and <3,500 mg g-1) and body mass index ≥27 kg m-2. Participants were randomized to semagluti",10.1038/s41591-024-03327-6
semaglutide_hba1c,Semaglutide,GLP1: GLP-1 receptor agonist; metabolic/gerotherapeutic candidate with effects on adiposity and epigenetic aging measures,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,28110911,"Efficacy and safety of once-weekly semaglutide monotherapy versus placebo in patients with type 2 diabetes (SUSTAIN 1): a double-blind, randomised, placebo-controlled, parallel-group, multinational, multicentre phase 3a trial.",The lancet. Diabetes & endocrinology,2017,randomized_trial,0.75,0.92,"nd exercise alone for at least 30 days before screening, with a baseline HbA1c of 7·0%-10·0% (53-86 mmol/mol). We randomly assigned participants (2:2:1:1) to either once-weekly subcutaneou",10.1016/S2213-8587(17)30013-X
semaglutide_lean_mass,Semaglutide,GLP1: GLP-1 receptor agonist; metabolic/gerotherapeutic candidate with effects on adiposity and epigenetic aging measures,lean mass,body composition,muscle maintenance,stem cell exhaustion,intervention_to_surrogate,38629387,A systematic review of the effect of semaglutide on lean mass: insights from clinical trials.,Expert opinion on pharmacotherapy,2024,randomized_trial,0.95,0.77,"A systematic review of the effect of semaglutide on lean mass: insights from clinical trials.. INTRODUCTION: Semaglutide, a glucagon-like peptide-1 receptor agonist, is as",10.1080/14656566.2024.2343092
semaglutide_hba1c,Semaglutide,GLP1: GLP-1 receptor agonist; metabolic/gerotherapeutic candidate with effects on adiposity and epigenetic aging measures,HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,40544432,Cagrilintide-Semaglutide in Adults with Overweight or Obesity and Type 2 Diabetes.,The New England journal of medicine,2025,randomized_trial,0.75,0.92,Cagrilintide-Semaglutide in Adults with Overweight or Obesity and Type 2 Diabetes.. BACKGROUND: Cagrilintide and semaglutide have each been shown to induce weight loss as monotherapies. Data are needed on the coadministr,10.1056/NEJMoa2502082
sglt2_inhibitors_creatinine,Sglt2 Inhibitors,"Block renal sodium-glucose cotransporter 2 to promote glycosuria; may mimic caloric restriction/ketogenic metabolism, reduce inflammation and senescent cell burden, and modulate SASP",creatinine,organ function,kidney function,loss of proteostasis,intervention_to_surrogate,41203232,SGLT2 Inhibitors and Kidney Outcomes by Glomerular Filtration Rate and Albuminuria: A Meta-Analysis.,JAMA,2026,randomized_trial,0.75,0.72,"ion rate (eGFR) or degree of albuminuria, measured by urinary albumin to creatinine ratio (UACR), modifies the effects of SGLT2 inhibitors on kidney outcomes. DATA SOURCES: SGLT2 inhibitor tria",10.1001/jama.2025.20834
sglt2_inhibitors_hba1c,Sglt2 Inhibitors,"Block renal sodium-glucose cotransporter 2 to promote glycosuria; may mimic caloric restriction/ketogenic metabolism, reduce inflammation and senescent cell burden, and modulate SASP",HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,39899304,Age and Sex Differences in Efficacy of Treatments for Type 2 Diabetes: A Network Meta-Analysis.,JAMA,2025,randomized_trial,0.65,0.92,twork meta-regression models. MAIN OUTCOME AND MEASURES: Hemoglobin A1c (HbA1c) and MACEs. RESULTS: Of the 601 eligible trials identified (592 trials with 309 503 participants reported HbA,10.1001/jama.2024.27402
sglt2_inhibitors_hba1c,Sglt2 Inhibitors,"Block renal sodium-glucose cotransporter 2 to promote glycosuria; may mimic caloric restriction/ketogenic metabolism, reduce inflammation and senescent cell burden, and modulate SASP",HbA1c,metabolic,glucose metabolism,deregulated nutrient sensing,intervention_to_surrogate,30706731,"Pioglitazone: The forgotten, cost-effective cardioprotective drug for type 2 diabetes.",Diabetes & vascular disease research,2019,randomized_trial,0.65,0.92,"in sensitizer, preserves beta-cell function, causes durable reduction in HbA1c, corrects multiple components of metabolic syndrome and improves nonalcoholic fatty liver disease/nonalcoholi",10.1177/1479164118825376
sglt2_inhibitors_creatinine,Sglt2 Inhibitors,"Block renal sodium-glucose cotransporter 2 to promote glycosuria; may mimic caloric restriction/ketogenic metabolism, reduce inflammation and senescent cell burden, and modulate SASP",creatinine,organ function,kidney function,loss of proteostasis,intervention_to_surrogate,37876229,Effect of SGLT2 Inhibitors on Discontinuation of Renin-angiotensin System Blockade: A Joint Analysis of the CREDENCE and DAPA-CKD Trials.,Journal of the American Society of Nephrology : JASN,2023,randomized_trial,0.75,0.72,"hibitors. This effect was more pronounced in patients with urine albumin:creatinine ratio ≥1000 mg/g, for whom the absolute benefits of these medications are the greatest. These findings indica",10.1681/ASN.0000000000000248
sglt2_inhibitors_nt_probnp,Sglt2 Inhibitors,"Block renal sodium-glucose cotransporter 2 to promote glycosuria; may mimic caloric restriction/ketogenic metabolism, reduce inflammation and senescent cell burden, and modulate SASP",NT-proBNP,cardiovascular,cardiac stress,altered intercellular communication,intervention_to_surrogate,39400108,Empagliflozin and other SGLT2 inhibitors in patients with heart failure and preserved ejection fraction: a systematic review and meta-analysis.,Therapeutic advances in cardiovascular disease,2024,randomized_trial,0.75,0.8,"al fibrillation or flutter, diabetes mellitus, sex, body mass index, and nt-proBNP. The included studies were of moderate to high quality. CONCLUSION: For individuals with HFpEF, SGLT2 inhibit",10.1177/17539447241289067
spermidine_nad_nadh_ratio,Spermidine,"autophagy: Autophagy inducer; mitigates immune cell senescence, reduces p16/mTOR-associated senescence features, and enhances B-cell memory and vaccine responsiveness",NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,38181790,Human trials exploring anti-aging medicines.,Cell metabolism,2024,review,0.65,0.73,"Human trials exploring anti-aging medicines.. Here, we summarize the current knowledge on eight promising drugs and natural compounds that have been tested in the clinic: metformin, NAD+ precursors, glucagon-like peptide",10.1016/j.cmet.2023.12.007
spermidine_nad_nadh_ratio,Spermidine,"autophagy: Autophagy inducer; mitigates immune cell senescence, reduces p16/mTOR-associated senescence features, and enhances B-cell memory and vaccine responsiveness",NAD+ NADH ratio,mitochondrial,redox balance,mitochondrial dysfunction,intervention_to_surrogate,32467649,The quest to slow ageing through drug discovery.,Nature reviews. Drug discovery,2020,review,0.55,0.63,"The quest to slow ageing through drug discovery.. Although death is inevitable, individuals have long sought to alter the course of the ageing process. Indeed, ageing has proved to be modifiable; by intervening in biolog",10.1038/s41573-020-0067-7
spermidine_igf_1,Spermidine,"autophagy: Autophagy inducer; mitigates immune cell senescence, reduces p16/mTOR-associated senescence features, and enhances B-cell memory and vaccine responsiveness",IGF-1,growth signaling,insulin IGF signaling,deregulated nutrient sensing,intervention_to_surrogate,31631676,Nutrition and longevity - From mechanisms to uncertainties.,Critical reviews in food science and nutrition,2020,review,0.55,0.68,"A brief summary of mechanistic factors involved, like for example mTor, IGF-1, and autophagy, will also be presented. Finally, the association of foods and diets with all-cause mortality",10.1080/10408398.2019.1676698
spermidine_telomere_length,Spermidine,"autophagy: Autophagy inducer; mitigates immune cell senescence, reduces p16/mTOR-associated senescence features, and enhances B-cell memory and vaccine responsiveness",telomere length,cellular aging,replicative aging,genomic instability,intervention_to_surrogate,31631676,Nutrition and longevity - From mechanisms to uncertainties.,Critical reviews in food science and nutrition,2020,review,0.55,0.61,"or rodents. In humans, certain healthy foods are associated with longer telomere length, and reductions in protein intake with lower IGF-1 levels, respectively, both relations being associated with",10.1080/10408398.2019.1676698
spermidine_bdnf,Spermidine,"autophagy: Autophagy inducer; mitigates immune cell senescence, reduces p16/mTOR-associated senescence features, and enhances B-cell memory and vaccine responsiveness",BDNF,cardiovascular,neurotrophic signaling,altered intercellular communication,intervention_to_surrogate,32268299,Spermidine and spermine delay brain aging by inducing autophagy in SAMP8 mice.,Aging,2020,preclinical,0.5,0.65,"he expression of neurotrophic factors, including NGF, PSD95and PSD93 and BDNF in neurons of SAMP8 mice. These results indicated that the effect of spermidine and spermine on anti-aging is",10.18632/aging.103035
spermidine_igf_1,Spermidine,"autophagy: Autophagy inducer; mitigates immune cell senescence, reduces p16/mTOR-associated senescence features, and enhances B-cell memory and vaccine responsiveness",IGF-1,growth signaling,insulin IGF signaling,deregulated nutrient sensing,intervention_to_surrogate,39212197,A surge in endogenous spermidine is essential for rapamycin-induced autophagy and longevity.,Autophagy,2024,preclinical,0.65,0.68,"A surge in endogenous spermidine is essential for rapamycin-induced autophagy and longevity.. Acute nutrient deprivation (fasting) causes an immediate increase in spermidine biosynthesis in yeast, flies, mice and humans,",10.1080/15548627.2024.2396793
betulinic_acid_tnf_alpha,Betulinic Acid,"Activates AMPK and suppresses mTOR signaling, enhances autophagy, reduces ROS, and inhibits NLRP3 inflammasome activation",TNF-alpha,inflammation,cytokine signaling,inflammaging,intervention_to_surrogate,37571393,Underlying Mechanisms of Brain Aging and Neurodegenerative Diseases as Potential Targets for Preventive or Therapeutic Strategies Using Phytochemicals.,Nutrients,2023,review,0.55,0.7,"Underlying Mechanisms of Brain Aging and Neurodegenerative Diseases as Potential Targets for Preventive or Therapeutic Strategies Using Phytochemicals.. During aging, several tissues and biological systems undergo a prog",10.3390/nu15153456
betulinic_acid_igf_1,Betulinic Acid,"Activates AMPK and suppresses mTOR signaling, enhances autophagy, reduces ROS, and inhibits NLRP3 inflammasome activation",IGF-1,growth signaling,insulin IGF signaling,deregulated nutrient sensing,intervention_to_surrogate,35967806,Betulinic acid increases lifespan and stress resistance via insulin/IGF-1 signaling pathway in Caenorhabditis elegans.,Frontiers in nutrition,2022,preclinical,0.7,0.68,"Betulinic acid increases lifespan and stress resistance via insulin/IGF-1 signaling pathway in Caenorhabditis elegans.. Numerous studies reported that betulinic acid (BA), a natural p",10.3389/fnut.2022.960239
betulinic_acid_ddc,Betulinic Acid,"Activates AMPK and suppresses mTOR signaling, enhances autophagy, reduces ROS, and inhibits NLRP3 inflammasome activation",DDC,neurodegeneration,neurotransmitter metabolism,loss of proteostasis,intervention_to_surrogate,11562282,New developments in anti-HIV chemotherapy.,Current medicinal chemistry,2001,review,0.35,0.5,"hibitors (NRTIs): i.e., zidovudine (AZT), didanosine (ddI), zalcitabine (ddC), stavudine (d4T), lamivudine (3TC), abacavir (ABC), emtricitabine [(-)FTC], tenofovir (PMPA) disoproxil fuma",10.2174/0929867013371842
bleomycin_p16ink4a_expression,Bleomycin,DNA-damaging antitumor agent used experimentally to induce pulmonary fibrosis and senescence-associated tissue injury,p16INK4a expression,senescence,cell cycle arrest,cellular senescence,intervention_to_surrogate,28230051,Cellular senescence mediates fibrotic pulmonary disease.,Nature communications,2017,preclinical,0.65,0.85,"Cellular senescence mediates fibrotic pulmonary disease.. Idiopathic pulmonary fibrosis (IPF) is a fatal disease characterized by interstitial remodelling, leading to compromised lung function. Cellular senescence marker",10.1038/ncomms14532
bleomycin_bdnf,Bleomycin,DNA-damaging antitumor agent used experimentally to induce pulmonary fibrosis and senescence-associated tissue injury,BDNF,cardiovascular,neurotrophic signaling,altered intercellular communication,intervention_to_surrogate,38937456,Lung injury-induced activated endothelial cell states persist in aging-associated progressive fibrosis.,Nature communications,2024,preclinical,0.55,0.65,"n be induced in vitro by activating YAP/TAZ. YAP/TAZ also cooperate with BDNF, a TrkB ligand that is reduced in fibrotic lungs, to promote capillary morphogenesis. These findings offer in",10.1038/s41467-024-49545-x
